#JCAT	Piece	Name	LDate	GDate	ODate	Period	Perigee	PF	Apogee	AF	Inc	IF	OType	Longitude	DriftRate	TDate	TF	Flags
# Updated 2025 Aug  5 0507:15
S04376	1970-032A	INTELSAT III F-7	1970 Apr 23	1970 Apr 24 2019	2025 Aug  3 0752:	    1435.083 	   35759.6 	 	   35773.9 	 	  1.61 	 	GEO/D	 24.79E	 +   0.248E	1972 May?	P	-
S04418	1970-046A	OPS 5346	1970 Jun 19	1970 Jun 19?    	2021 May 31 2153:	    1436.212 	   35746.2 	 	   35831.5 	 	  2.47 	 	GEO/S	 64.82E	 +   0.036W	1978?	P	-
S04478	1970-055A	INTELSAT III F-8	1970 Jul 23	1970 Jul 25 0223	2025 Aug  4 1046:	    1408.091 	   33920.3 	 	   36552.9 	 	  4.68 	 	GEO/ID	123.15W	 +   7.173E	1970 Jul 25	P	-
S04510	1970-069A	OPS 7329	1970 Sep  1	1970 Sep  1 0800	2025 Aug  4 1454:	    1436.483 	   31531.8 	 	   40056.5 	 	 10.42 	 	GEO/T	 36.17W	 +   0.104W	1977?	P	-
S27787	1970-069B	Agena D 2803?	1970 Sep  1	1970 Sep  1 0800	2025 Aug  3 1332:	    1415.857 	   30295.8 	 	   40483.2 	 	 11.19 	 	GEO/NS	 12.09W	 +   5.153E	1970 Sep  1 0100	R	-
S04881	1971-006A	INTELSAT IV F2	1971 Jan 26	1971 Jan 27 0344	2025 Aug  4 1120:	    1456.963 	   36145.9 	 	   36242.2 	 	  5.17 	 	GEO/ID	 97.30W	 +   5.177W	1983 May 11	P	-
S04902	1971-009A	NATO IIB	1971 Feb  3	1971 Feb  5 0456	2025 Aug  4 1235:	    1436.091 	   35769.2 	 	   35803.7 	 	  1.94 	 	GEO/S	105.55W	 +   0.006W	1983 May?	P	-
S05205	1971-039B	Transtage 20	1971 May  5	1971 May  5?    	2020 Mar 18 0507:	    1433.812 	   35600.3 	 	   35883.4 	 	  4.06 	 	GEO/ID	 37.38E	 +   0.568E	1971 May  5 0743:01	R	-
S05204	1971-039A	DSP F2	1971 May  5	1971 May  5?    	2025 Aug  4 1104:	    1466.973 	   36302.7 	 	   36475.0 	 	  0.60 	 	GEO/D	 61.54W	 +   7.605W	1983 Jan 10	P	-
A01962	1971-039	DSP 3 Aperture Cover	1971 May  5	1971 May  6?    	1971 May  5	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1971 May  5 0743:01	C	-
S05587	1971-095A	DSCS II F-1	1971 Nov  3	1971 Nov  3?    	2025 Aug  4 1234:	    1435.920 	   35763.1 	 	   35803.2 	 	  2.40 	 	GEO/S	105.94W	 +   0.037E	2020 Jan  6	P	-
S05588	1971-095B	DSCS II F-2	1971 Nov  3	1971 Nov  3?    	2025 Aug  4 1346:	    1435.658 	   35770.7 	 	   35785.3 	 	  2.36 	 	GEO/S	143.29E	 +   0.103E	1980?	P	-
S05589	1971-095C	Transtage 21	1971 Nov  3	1971 Nov  3?    	2025 Aug  4 0621:	    1481.657 	   35952.4 	 	   37395.1 	 	  4.12 	 	GEO/ID	 27.00E	 +  11.107W	1971 Nov  3 0309:06	R	-
S05709	1971-116A	INTELSAT IV F3	1971 Dec 20	1971 Dec 21 0339	2025 Aug  4 1205:	    1445.378 	   35923.7 	 	   36012.4 	 	  7.16 	 	GEO/ID	151.68E	 +   2.325W	1984 Feb 23	P	-
S05775	1972-003A	INTELSAT IV F4	1972 Jan 23	1972 Jan 26 0032	2025 Aug  4 0806:	    1442.450 	   35899.4 	 	   35922.3 	 	  7.49 	 	GEO/ID	 59.18W	 +   1.597W	1983 May 10	P	-
S05854	1972-010B	Transtage 22	1972 Mar  1	1972 Mar  1?    	2025 Aug  3 1924:	    1430.419 	   35409.1 	 	   35941.7 	 	  0.16 	 	GEO/D	116.27E	 +   1.426E	1972 Mar  1 0939:28	R	-
S05851	1972-010A	DSP F3	1972 Mar  1	1972 Mar  1?    	2025 Aug  4 1309:	    1443.161 	   35892.6 	 	   35957.0 	 	  0.44 	 	GEO/D	 16.07E	 +   1.774W	2018 Jan  8	P	-
A02097	1972-010	DSP 4 Aperture Cover	1972 Mar  1	1972 Mar  2?    	1972 Mar  1	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1972 Mar  1 0939:28	C	-
S06052	1972-041A	INTELSAT IV F5	1972 Jun 13	1972 Jun 16 0101	2025 Aug  3 2225:	    1438.129 	   35810.1 	 	   35842.7 	 	  6.51 	 	GEO/ID	  0.82E	 +   0.517W	1983 Jul	P	-
S06278	1972-090A	Anik A1	1972 Nov 10	1972 Nov 13 2055	2025 Aug  4 1122:	    1457.086 	   36126.7 	 	   36266.1 	 	  6.96 	 	GEO/ID	146.18W	 +   5.207W	1982 Jul 15	P	-
S06317	1972-101A	OPS 9390	1972 Dec 20	1972 Dec 21 0430	2025 Aug  4 0620:	    1435.787 	   30533.0 	 	   41028.0 	 	  9.77 	 	GEO/T	 23.44E	 +   0.071E	1980?	P	-
S06318	1972-101B	Agena D 2805?	1972 Dec 20	1972 Dec 21 0430	2025 Aug  4 0942:	    1407.431 	   30162.9 	 	   40284.4 	 	  9.23 	 	GEO/NS	132.47E	 +   7.345E	1972 Dec 20 2220	R	-
S06380	1973-013A	OPS 6063	1973 Mar  6	1973 Mar  6?    	2025 Aug  4 1326:	    1436.068 	   35688.4 	 	   35883.7 	 	  1.15 	 	GEO/S	 73.75E	 +   0.000E	1983?	P	-
S06437	1973-023A	Anik A2	1973 Apr 20	1973 Apr 24 2200	2025 Aug  4 1035:	    1442.855 	   35880.8 	 	   35956.7 	 	  7.67 	 	GEO/ID	165.57W	 +   1.698W	1982 Oct 29	P	-
S06691	1973-040A	DSP F4	1973 Jun 12	1973 Jun 12?    	2025 Aug  4 1208:	    1442.442 	   35889.2 	 	   35932.2 	 	  1.61 	 	GEO/D	160.01E	 +   1.595W	1980 Nov?	P	-
S11940	1973-040B	Transtage 24	1973 Jun 12	1973 Jun 12?    	2025 Aug  4 0204:	    1446.407 	   35861.9 	 	   36114.4 	 	  1.79 	 	GEO/D	 93.06W	 +   2.580W	1973 Jun 12 0714:05	R	-
A02296	1973-040	DSP 2 Aperture Cover	1973 Jun 12	1973 Jun 13?    	1973 Jun 12	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1973 Jun 12 0714:05	C	-
S06796	1973-058A	INTELSAT IV F7	1973 Aug 23	1973 Aug 25 1230	2025 Aug  3 1703:	    1452.420 	   36079.4 	 	   36131.6 	 	  7.97 	 	GEO/ID	111.28E	 +   4.064W	1984 Feb 23	P	-
S06973	1973-100A	DSCS II F-3	1973 Dec 13	1973 Dec 14     	2025 Aug  4 1039:	    1474.578 	   36397.6 	 	   36675.3 	 	  5.92 	 	GEO/ID	128.13W	 +   9.427W	1982?	P	-
S06974	1973-100B	DSCS II F-4	1973 Dec 13	1973 Dec 14     	2025 Aug  3 2150:	    1476.643 	   36299.8 	 	   36853.3 	 	  5.50 	 	GEO/ID	 37.89E	 +   9.919W	1993 Dec 17	P	-
S06976	1973-100D	Transtage 26	1973 Dec 13	1973 Dec 14     	2025 Aug  4 1205:	    1515.835 	   36182.8 	 	   38483.8 	 	  7.33 	 	VHEO	152.21E	 +  18.996W	1973 Dec 13 2357:01	R	-
S07229	1974-017A	Kosmos-637	1974 Mar 26	1974 Mar 26 2000	2025 Aug  4 1206:	    1428.974 	   35486.4 	 	   35807.7 	 	  1.64 	 	GEO/D	153.09E	 +   1.792E	1974 Mar 27	P	-
S11567	1974-017F	Blok DM  No. 1L	1974 Mar 26	1974 Mar 26 2000	2025 Aug  4 1319:	    1425.657 	   35399.0 	 	   35765.0 	 	  1.49 	 	GEO/D	 50.64E	 +   2.636E	1974 Mar 26 1335:00	R	-
S07250	1974-022A	Westar 1	1974 Apr 13	1974 Apr 16 2121	2025 Aug  3 2012:	    1441.568 	   35882.4 	 	   35904.8 	 	  7.83 	 	GEO/ID	 51.36E	 +   1.377W	1983 Jun 15	P	-
S07298	1974-033A	SMS 1	1974 May 17	1974 May 19 0700	2025 Aug  4 1239:	    1460.277 	   36197.5 	 	   36319.6 	 	  4.94 	 	GEO/ID	 91.47W	 +   5.985W	1981 Jan 29	P	-
S07318	1974-039A	ATS 6	1974 May 30	1974 May 30 1937	2025 Aug  4 1237:	    1412.037 	   35187.5 	 	   35441.1 	 	  2.73 	 	GEO/D	 98.38W	 +   6.144E	1979 Aug  2	P	-
S07324	1974-039C	Transtage 27	1974 May 30	1974 May 30 1937	2025 Aug  4 1113:	    1429.776 	   35526.7 	 	   35798.8 	 	  3.56 	 	GEO/ID	 31.71W	 +   1.589E	1974 May 30 1300:01	R	-
S53647	1974-039D	deb Transtage 27	1974 May 30	2022 Aug?       	2024 Sep 29 1510:	    1431.282 	   34698.7 	 	   36685.9 	 	  4.35 	 	GEO/ID	 35.84E	 +   1.207E	1974 May 30 1300:01	D	-
S07392	1974-060A	Molniya-1S	1974 Jul 29	1974 Jul 29     	2025 Aug  4 1135:	    1435.630 	   35737.6 	 	   35817.3 	 	  2.18 	 	GEO/S	 45.18E	 +   0.110E	1975?	P	-
S20836	1974-060F	Blok DM No. 2L	1974 Jul 29	1974 Jul 29     	2025 Aug  4 1136:	    1435.023 	   35696.0 	 	   35835.2 	 	  2.16 	 	GEO/D	 47.57E	 +   0.263E	1974 Jul 29 1200:00	R	-
S07466	1974-075A	Westar 2	1974 Oct 10	1974 Oct 13     	2025 Aug  4 0234:	    1442.070 	   35880.0 	 	   35926.9 	 	  7.97 	 	GEO/ID	 48.07W	 +   1.502W	1986 May  7	P	-
S07544	1974-093A	INTELSAT IV F8	1974 Nov 21	1974 Nov 23 2348	2025 Aug  3 2017:	    1443.191 	   35905.2 	 	   35945.5 	 	  8.64 	 	GEO/ID	 70.14E	 +   1.782W	1985 Aug 20?	P	-
S07547	1974-094A	Skynet IIB	1974 Nov 23	1974 Nov 25 0110	2025 Aug  4 0758:	    1435.731 	   35762.9 	 	   35796.0 	 	  4.37 	 	GEO/I	  5.03E	 +   0.085E	1994?	P	-
S07578	1974-101A	Symphonie 1	1974 Dec 19	1974 Dec 21 1715	2025 Aug  4 1244:	    1440.751 	   35871.4 	 	   35883.9 	 	  5.39 	 	GEO/ID	 73.49W	 +   1.173W	1983 Aug  4	P	-
A02517	1974-101	Symphonie despin weight	1974 Dec 19	1974 Dec 24 0700	1974 Dec 24	    1477.956 	   35068.0 	 	   38136.0 	 	  0.65 	 	GEO/D	-	-	1974 Dec 19 0239:00	C	-
A02518	1974-101	Symphonie despin weight	1974 Dec 19	1974 Dec 24 0700	1974 Dec 24	    1477.956 	   35068.0 	 	   38136.0 	 	  0.65 	 	GEO/D	-	-	1974 Dec 19 0239:00	C	-
S07648	1975-011A	SMS 2	1975 Feb  6	1975 Feb  7 1443	2025 Aug  3 2146:	    1447.056 	   35941.4 	 	   36060.2 	 	  6.27 	 	GEO/ID	 21.17E	 +   2.741W	1982 Oct	P	-
S20835	1975-011F	SVM-5	1975 Feb  6	1975 Feb  7 1443	2025 Aug  4 0616:	    1460.604 	   35851.0 	 	   36678.9 	 	  4.60 	 	GEO/ID	  8.41E	 +   6.064W	1975 Feb  6 2204:00	C	-
A02528	1975-011	SMS 2 VISSR Cover	1975 Feb  6	1975 Feb 11?    	1975 Feb 11	    1436.015 	   35770.0 	?	   35800.0 	?	  1.10 	?	GEO/S	-	-	1975 Feb  6 2204:00	C	-
S07790	1975-038A	Anik A3	1975 May  7	1975 May 10 1730	2025 Aug  4 1053:	    1439.480 	   35845.7 	 	   35859.9 	 	  8.38 	 	GEO/ID	117.26W	 +   0.856W	1984 Nov 23	P	-
S07815	1975-042A	INTELSAT IV F1	1975 May 22	1975 May 24 2245	2025 Aug  3 1710:	    1450.749 	   36020.0 	 	   36125.9 	 	  8.92 	 	GEO/ID	 98.41E	 +   3.653W	1987 Oct 27	P	-
S07963	1975-055A	OPS 4966	1975 Jun 18	1975 Jun 18 1600	2020 Aug  4 1819:	    1434.650 	   29961.4 	 	   41555.1 	 	 15.58 	 	GEO/NS	 59.85E	 +   0.357E	1982?	P	-
S07964	1975-055B	Agena D 2806?	1975 Jun 18	1975 Jun 18 1600	2025 Aug  3 1854:	    1410.511 	   30334.6 	 	   40234.0 	 	 10.24 	 	GEO/NS	  4.98E	 +   6.541E	1975 Jun 18 0900:00	R	-
S08132	1975-077A	Symphonie 2	1975 Aug 27	1975 Aug 29 1548	2025 Aug  4 1330:	    1440.588 	   35867.3 	 	   35881.6 	 	  4.86 	 	GEO/ID	 89.10E	 +   1.132W	1985	P	-
A02601	1975-077	Symphonie despin weight	1975 Aug 27	1975 Aug 29     	1975 Aug 29	    1436.118 	   35768.0 	 	   35806.0 	 	  0.20 	 	GEO/S	-	-	1975 Aug 27 0142:00	C	-
A02602	1975-077	Symphonie despin weight	1975 Aug 27	1975 Aug 29     	1975 Aug 29	    1436.118 	   35768.0 	 	   35806.0 	 	  0.20 	 	GEO/S	-	-	1975 Aug 27 0142:00	C	-
S08330	1975-091A	INTELSAT IVA F1	1975 Sep 26	1975 Sep 27 0317	2025 Aug  3 2323:	    1440.906 	   35855.4 	 	   35905.9 	 	  8.55 	 	GEO/ID	  2.80E	 +   1.212W	1986 Jul 24	P	-
S08357	1975-097A	Kosmos-775	1975 Oct  8	1975 Oct  8 0700	2025 Aug  4 1336:	    1436.549 	   35746.1 	 	   35844.8 	 	  3.18 	 	GEO/ID	110.08E	 +   0.121W	1978 Sep  5	P	-
S11676	1975-097F	Blok DM No. 4L	1975 Oct  8	1975 Oct  8 0700	2025 Aug  4 0756:	    1438.116 	   35728.2 	 	   35924.0 	 	  3.18 	 	GEO/ID	  2.62W	 +   0.514W	1975 Oct  8 0030:00	R	-
S08366	1975-100A	GOES 1	1975 Oct 16	1975 Oct 17 1451	2025 Aug  4 1129:	    1436.579 	   35780.4 	 	   35811.7 	 	  5.42 	 	GEO/ID	 88.87W	 +   0.128W	1985 Feb	P	-
S20962	1975-100F	SVM-5	1975 Oct 16	1975 Oct 17 1451	2025 Aug  3 1728:	    1412.673 	   34199.1 	 	   36454.6 	 	  3.10 	 	GEO/ID	 46.61E	 +   5.978E	1975 Oct 16 2240:00	C	-
A02621	1975-100	GOES 1 VISSR Cover	1975 Oct 16	1975 Oct 20?    	1975 Oct 20	    1436.015 	   35770.0 	?	   35800.0 	?	  1.10 	?	GEO/S	-	-	1975 Oct 16 2240:00	C	-
S08482	1975-118A	DSP F5	1975 Dec 14	1975 Dec 14 1145	2025 Aug  4 1222:	    1433.186 	   35595.2 	 	   35864.0 	 	  3.11 	 	GEO/ID	151.63W	 +   0.726E	1975 Dec	P	-
S08516	1975-118C	Transtage 29	1975 Dec 14	1975 Dec 14 1145	2025 Aug  4 0716:	    1432.280 	   35658.0 	 	   35765.7 	 	  3.08 	 	GEO/ID	156.38W	 +   0.955E	1975 Dec 14 0515:00	R	-
S08517	1975-118D	DSP 8 Aperture Cover	1975 Dec 14	1975 Dec 15?    	1975 Dec 15	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1975 Dec 14 0515:00	C	-
S08476	1975-117A	Satcom 1	1975 Dec 13	1975 Dec 15 2241	2025 Aug  4 1105:	    1445.718 	   35908.2 	 	   36041.3 	 	  8.67 	 	GEO/ID	159.00W	 +   2.409W	1984 Jun  8	P	-
S08513	1975-123A	Raduga	1975 Dec 22	1975 Dec 22 1930	2025 Aug  4 1329:	    1435.886 	   35758.0 	 	   35806.9 	 	  3.62 	 	GEO/I	 83.82E	 +   0.046E	1978 Jul?	P	-
S11568	1975-123F	Blok DM  No. 3L	1975 Dec 22	1975 Dec 22 1930	2025 Aug  4 0935:	    1433.077 	   35662.4 	 	   35792.5 	 	  3.36 	 	GEO/ID	 13.99W	 +   0.753E	1975 Dec 22 1300:00	R	-
S08585	1976-004A	Hermes	1976 Jan 17	1976 Jan 20 2041	2025 Aug  4 1246:	    1436.175 	   35718.5 	 	   35857.7 	 	  4.75 	 	GEO/I	 64.71W	 +   0.027W	1979 Dec  8	P	-
S39688	1976-004E	CTS JBSA	1976 Jan 17	1976 Feb  1     	2025 Aug  4 1044:	    1436.464 	   35574.6 	 	   36013.0 	 	  4.05 	 	GEO/I	124.84W	 +   0.099W	1976 Jan 17 2327:54	C	-
S39689	1976-004F	CTS JBSA	1976 Jan 17	1976 Feb  1     	2025 Aug  4 0423:	    1435.425 	   35287.5 	 	   36259.4 	 	  4.09 	 	GEO/ID	106.30W	 +   0.162E	1976 Jan 17 2327:54	C	-
S08620	1976-010A	INTELSAT IVA F2	1976 Jan 29	1976 Jan 31 0100	2025 Aug  4 0012:	    1444.486 	   35924.5 	 	   35976.7 	 	  8.58 	 	GEO/ID	123.09E	 +   2.104W	1985 Dec 19	P	-
S08697	1976-017A	Marisat 101	1976 Feb 19	1976 Feb 21 1332	2025 Aug  4 1205:	    1451.463 	   36030.2 	 	   36143.4 	 	  6.57 	 	GEO/ID	150.60E	 +   3.829W	1997 Apr  2	P	-
S08751	1976-023F	Transtage 30	1976 Mar 15	1976 Mar 15 0805	2025 Aug  4 0548:	    1464.515 	   35816.3 	 	   36865.7 	 	 21.21 	 	GEO/ID	152.57W	 +   7.012W	1976 Mar 15 0125:40	R	-
S08746	1976-023A	LES 8	1976 Mar 15	1976 Mar 15 0805	2025 Aug  4 1235:	    1436.027 	   35643.5 	 	   35926.9 	 	 21.81 	 	GEO/I	103.47W	 +   0.010E	2004 Jun  2	P	-
S08747	1976-023B	LES 9	1976 Mar 15	1976 Mar 15 0805	2025 Aug  4 1109:	    1436.013 	   35679.3 	 	   35890.6 	 	 21.77 	 	GEO/I	105.03W	 +   0.014E	2020 May 20	P	-
S08748	1976-023C	SR 11A	1976 Mar 15	1976 Mar 15 0805	2025 Aug  7 0719:	    7318.241 	  117367.6 	 	  119600.7 	 	 15.19 	 	VHEO	113.97E	-	1976 Mar 16 	P	D
S08749	1976-023D	SR 11B	1976 Mar 15	1976 Mar 15 0805	2016 Sep  5 0807:	    7702.968 	  118376.1 	 	  127269.5 	 	 38.39 	 	VHEO	105.34W	-	1976 Mar 16 	P	D
S08832	1976-023J	P74-1 Upper Truss Assembly	1976 Mar 15	1976 Mar 15 0805	2025 Aug  4 1102:	    1465.505 	   35761.9 	 	   36958.6 	 	 21.20 	 	GEO/ID	 68.54W	 +   7.251W	1976 Mar 15 0125:40	C	-
S13753	1976-023K	P74-1 truss part	1976 Mar 15	1976 Mar 15 0805	2025 Aug  4 1036:	    1420.893 	   35479.5 	 	   35497.4 	 	  5.61 	 	GEO/ID	129.16W	 +   3.855E	1976 Mar 15 0125:40	C	-
S08774	1976-029A	Satcom 2	1976 Mar 26	1976 Mar 29 1930	2025 Aug  4 0436:	    1460.105 	   36005.2 	 	   36505.2 	 	  9.56 	 	GEO/ID	 70.99W	 +   5.943W	1985 Jan 17	P	-
S08808	1976-035A	NATO 3A	1976 Apr 22	1976 Apr 24 2031	2025 Aug  4 1119:	    1442.258 	   35802.7 	 	   36011.6 	 	  5.70 	 	GEO/ID	147.80W	 +   1.549W	1992 Dec 17	P	-
S08838	1976-042A	Comstar 201	1976 May 13	1976 May 15 2242	2025 Aug  4 0236:	    1442.501 	   35900.2 	 	   35923.5 	 	  8.64 	 	GEO/ID	 42.83W	 +   1.610W	1984 Oct 26	P	-
S08882	1976-053A	Marisat 103	1976 Jun 10	1976 Jun 12 0030	2025 Aug  4 1127:	    1501.571 	   36491.8 	 	   37625.5 	 	  8.46 	 	VHEO	143.48W	 +  15.747W	1996 Sep 25	P	-
S08916	1976-059A	DSP F6	1976 Jun 26	1976 Jun 26 0930	2025 Aug  4 1211:	    1447.541 	   35986.0 	 	   36034.6 	 	  4.18 	 	GEO/ID	173.27E	 +   2.861W	1985 Mar  6	P	-
S08918	1976-059C	Transtage 28	1976 Jun 26	1976 Jun 26 0930	2025 Aug  4 0949:	    1432.375 	   35672.9 	 	   35754.5 	 	  3.55 	 	GEO/ID	167.54E	 +   0.931E	1976 Jun 26 0300:01	R	-
S08919	1976-059D	DSP 7 Aperture Cover	1976 Jun 26	1976 Jun 27?    	1976 Jul  1	    1431.675 	   35600.0 	?	   35800.0 	?	  1.00 	?	GEO/D	-	-	1976 Jun 26 0300:01	C	-
S09009	1976-066A	Palapa A1	1976 Jul  8	1976 Jul 11 2030	2025 Aug  4 1058:	    1438.952 	   35818.4 	 	   35866.5 	 	  8.56 	 	GEO/ID	107.46W	 +   0.724W	1986?	P	-
S09047	1976-073A	Comstar 202	1976 Jul 22	1976 Jul 24 2212	2025 Aug  4 0416:	    1440.281 	   35860.1 	 	   35876.9 	 	  8.59 	 	GEO/ID	 53.25W	 +   1.056W	1993 Dec 19	P	-
S09416	1976-092A	Raduga	1976 Sep 11	1976 Sep 12 0100	2025 Aug  4 1327:	    1436.453 	   35676.9 	 	   35910.3 	 	  4.30 	 	GEO/I	 79.16E	 +   0.097W	1980 May?	P	-
S17872	1976-092F	Blok DM No. 5L	1976 Sep 11	1976 Sep 12 0100	2025 Aug  4 1331:	    1435.688 	   35707.3 	 	   35849.9 	 	  4.28 	 	GEO/I	 93.32E	 +   0.096E	1976 Sep 11 1824:00	R	-
